<b>Generel toksikologi&nbsp;</b><div><br></div><div>Hvad kaldes den højeste dosis, hvor der ikke kan måles nogen effekt?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Generel toksikologi&nbsp;</b><div><br></div><div>Hvad kaldes det begreb der lægger vægt på at skelne mellem skadelige og reversible fysiologiske effekter?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Generel toksikologi&nbsp;</b><div><b><br></b></div><div>Hvad kaldes den mindste dosis med målbar effekt?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Generel toksikologi&nbsp;</b><div><b><br></b></div><div>Hvordan vil sammenhængen være for kræftfremkaldende stoffer, hvor skadevirknignen er statistisk tilfældig?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Generel toksikologi&nbsp;</b><div><b><br></b></div><div>Hvad dækker begrebet <i>lethal dose </i>(LD<sub>50</sub>) over?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Toksikokinetik&nbsp;</b><div><b><br></b></div><div>Hvad afhænger gassers og dampes deponering primært af?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Den konduktive del af luftvejene har et epitel beklædt med et overvejende vandholdigt lag.&nbsp;
<b>Cadmium&nbsp;</b><div><b><br></b></div><div>Hvad er akutte og mere langvarige sundhedseffekter af cadmium?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Cadmiumforbindelser er IARC gruppe 1 karcinogener (lungecancer)&nbsp;
<b>Cadmium</b><div><b><br></b></div><div>Hvad kan eksponering ved lavere niveauer af cadmium medføre?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Hormonforstyrrende stoffer&nbsp;</b><div><b><br></b></div><div>Hvad er ftalater og hvor anvendes de?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Hormonforstyrrende stoffer&nbsp;</b><div><b><br></b></div><div>Hvordan kan ftalater optages?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Hormonforstyrrende stoffer&nbsp;</b><div><b><br></b></div><div>Hvad gør, at ftalater ikke ophobes i kroppen?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Hormonforstyrrende stoffer&nbsp;</b><div><b><br></b></div><div>Angiv betydningen af bioakkumulering.&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Den vigtigste udskillelsesvej for stofferne er modermælk blandt kvinder.
<b>Toksikokinetik&nbsp;</b><div><b><br></b></div><div>Hvad sker der under en fase II-reaktion?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Herved ophører stofferens biologiske aktivitet som hovedregel samtidig med at de bliver mere vandopløselige og let udskilles renalt.&nbsp;
<b>Toksikokinetik&nbsp;</b><div><b><br></b></div><div>Hvad sker der ved fase I-reaktion?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Vand og fødevarer&nbsp;</b><div><b><br></b></div><div>Hvordan vurderer man menneskers risiko efter udsættelse for sundhedsskadelige stoffer?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Vand og fødevarer&nbsp;</b><div><b><br></b></div><div>Hvem skal underrettes ved mistanke om infektion eller forgiftning med fødevare eller vandbårne infektioner?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Vand og fødevarer</b><div><b><br></b></div><div>Hvilke processor skal råvand gennemgå for at blive til acceptabelt drikkevand?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Herved renses der for kuldioxid, metan, svovlbrinte, ammoniak, jern og mangan samt mikroorganismer.&nbsp;
<b>Vand og fødevarer</b><div><b><br></b></div><div>Hvis råvand indhentes for overfladevand, hvilken metode anvendes for at eliminere mikrobiel kontamination?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Vand og fødevarer</b><div><b><br></b></div><div>Hvilke mikrobielle agenser er typiske årsager til vandbåren sygdom i Danmark?&nbsp;&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Ved voldsomme forureninger, hvor spildevand trænger ind i ledningsnettet, kan spektret af mulige organismer blive omfattende.&nbsp;
<b>Spildevand og affald&nbsp;</b><div><b><br></b></div><div>Hvorfor er affaldsproblematkken af væsentlig interesse i et miljømæssigt perspektiv?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Spildevandsproblematikken er blevet udvidet til i langt højere grad at omfatte effekterne på vandløb, søer og havområder.&nbsp;
<b>Kemikaliforurent jord&nbsp;</b><div><b><br></b></div><div>Hvad er den vejledende grænseværdi for blyindholdet i jorden?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Jordforureningen kan optages i haveafgrøder og i øvrigt bringes indendørs med fodtøj og vind.&nbsp;
<b>Arbejdsmiljø ved håndtering af spildevand og affald&nbsp;</b><div><b><br></b></div><div>Hvilke tilstande eller sygdomme ses med en øget forekomst blandt affalds- og komposteringsarbejdere?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Hvor mange kubikmeter luft kommer mennesket i kontakt med om dagen?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Hermed også med den forurening, der er i luften.&nbsp;
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Hvad forstås ved luftforurening?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Hvad er de vigtigste aerosolære gasser?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Dampe omfatter mange organiske forbindelser. Herunder er særligt to vigtigte.&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Partikler i luften inddeles i tre størrelsesfraktioner, som opstår ved forskellige processer. Nævn disse.&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Hvordan dannes ultrafine partikler overvejende set?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	I byerne er dieselbilers udstødning den vigtigste kilde.&nbsp;
<b>Luftforurening&nbsp;</b><div><b><br></b></div><div>Hvordan udøver partikler overvejende deres skadevirkning ved luftforurening?&nbsp;</div><div><br></div><div>•&nbsp;<span class=cloze>[...]</span></div><div>•&nbsp;<span class=cloze>[...]</span></div> 	Det medfører forværring af astma og kronisk obstruktiv lungesygdom.&nbsp;
